trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276235,111,11-23-2022,-158,6612,1669261872,1669261872,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1669261714,-158,1669261714
13276224,299,11-24-2022,-127,6612,1669333434,1669333434,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669333307,-127,1669333307
13276168,12671,11-28-2022,-156,6612,1669693799,1669693799,28,Westbound W 41 Ave @ Carnarvon St,49.234826,-123.174148,1669693643,-156,1669693643
13276116,115,12-07-2022,-152,6612,1670428874,1670428874,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670428722,-152,1670428722
13276135,1379,12-05-2022,-153,6612,1670284741,1670284741,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1670284588,-153,1670284588
13276205,296,11-24-2022,-169,6612,1669321916,1669321916,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1669321747,-169,1669321747
13276227,113,11-29-2022,-125,6612,1669709053,1669709053,19,Southbound Macdonald St @ W 16 Ave,49.257315,-123.168496,1669708928,-125,1669708928
13276182,130,12-06-2022,-146,6612,1670368407,1670368407,26,Southbound Mackenzie St @ W 37 Ave,49.238254,-123.170377,1670368261,-146,1670368261
13276184,54,12-07-2022,-175,6612,1670454051,1670454051,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1670453876,-175,1670453876
13276184,54,12-07-2022,-175,6612,1670454051,1670454051,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1670453876,-175,1670453876
13276217,110,11-30-2022,-175,6612,1669855716,1669855716,16,Southbound Macdonald St @ W Broadway,49.264268,-123.168373,1669855541,-175,1669855541
13276217,110,11-30-2022,-175,6612,1669855716,1669855716,16,Southbound Macdonald St @ W Broadway,49.264268,-123.168373,1669855541,-175,1669855541
13276135,1379,11-25-2022,-127,6612,1669420741,1669420741,14,Southbound Macdonald St @ W 4th Ave,49.268064,-123.168411,1669420614,-127,1669420614
13276116,115,11-25-2022,-144,6612,1669392074,1669392074,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1669391930,-144,1669391930
13276129,299,12-08-2022,-172,6612,1670516883,1670516883,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670516711,-172,1670516711
13276184,54,12-06-2022,-158,6612,1670367651,1670367651,22,Eastbound W 16 Ave @ Trutch St,49.257636,-123.175459,1670367493,-158,1670367493
13276116,115,12-05-2022,-114,6612,1670256074,1670256074,20,Westbound W 16 Ave @ Mackenzie St,49.257839,-123.170777,1670255960,-114,1670255960
13276205,296,12-06-2022,-296,6612,1670358715,1670358715,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670358419,-296,1670358419
